movie_id,title,release_date,release_year,release_month,studio,genre,ip_type,franchise,production_budget,worldwide_gross,runtime,audience_score,vote_count,popularity,has_financial_data,estimated_break_even,profitability_ratio,hit_status,budget_tier,release_era
262500,Insurgent,3/18/2015,2015,3,"Summit Entertainment, Red Wagon Entertainment, Mandeville Films","Action, Science Fiction, Thriller",Sequel,Divergent,110000000,297002527,119,6.36,10451,7.29,TRUE,275000000,1.08,Break Even,Standard Blockbuster,Pre-COVID
131634,The Hunger Games: Mockingjay - Part 2,11/18/2015,2015,11,"Lionsgate, Color Force, Studio Babelsberg","Action, Adventure, Science Fiction",Sequel,The Hunger Games,160000000,653428261,137,6.9,13356,7.52,TRUE,400000000,1.63,Major Hit,High Budget,Pre-COVID
135397,Jurassic World,6/6/2015,2015,6,"Amblin Entertainment, Universal Pictures, Legendary Pictures","Adventure, Science Fiction, Thriller",Sequel,Jurassic Park,150000000,1671537444,124,6.7,21608,13.02,TRUE,375000000,4.46,Major Hit,High Budget,Pre-COVID
266647,Pan,9/24/2015,2015,9,"Moving Picture Company, Berlanti Productions, RatPac Entertainment, Warner Bros. Pictures, Isobel Griffiths, Prime Focus","Fantasy, Adventure, Family, Action",Adaptation,Peter Pan,150000000,128388320,111,6,2852,3.67,TRUE,375000000,0.34,Miss,High Budget,Pre-COVID
140607,Star Wars: The Force Awakens,12/15/2015,2015,12,"Lucasfilm Ltd., Bad Robot","Adventure, Action, Science Fiction",Sequel,Star Wars,245000000,2068223624,136,7.25,20570,10.92,TRUE,612500000,3.38,Major Hit,High Budget,Pre-COVID
150540,Inside Out,6/17/2015,2015,6,Pixar,"Animation, Family, Adventure, Drama, Comedy",Original,Inside Out,175000000,857611174,95,7.91,23494,25.21,TRUE,437500000,1.96,Major Hit,High Budget,Pre-COVID
281957,The Revenant,12/25/2015,2015,12,"Monarchy Enterprises S.a.r.l., Regency Enterprises, Appian Way, CatchPlay, Anonymous Content, New Regency Pictures, Hong Kong Alpha Motion Pictures Co., M Productions, RatPac Entertainment","Western, Drama, Adventure",Adaptation,None,135000000,532950503,157,7.54,19351,11.87,TRUE,337500000,1.58,Hit,Standard Blockbuster,Pre-COVID
286217,The Martian,9/30/2015,2015,9,"Genre Films, TSG Entertainment, 20th Century Fox, Scott Free Productions","Science Fiction, Drama, Adventure",Adaptation,None,108000000,631058917,141,7.7,21263,15.26,TRUE,270000000,2.34,Major Hit,Standard Blockbuster,Pre-COVID
158852,Tomorrowland,5/19/2015,2015,5,"Walt Disney Pictures, A113","Adventure, Family, Mystery, Science Fiction",Original,None,190000000,209200000,130,6.29,7368,6.55,TRUE,475000000,0.44,Miss,High Budget,Pre-COVID
166424,Fantastic Four,8/5/2015,2015,8,"20th Century Fox, Constantin Film, Marvel Entertainment, Marv, Genre Films, Robert Kulzer Productions, TSG Entertainment","Action, Adventure, Science Fiction",Reboot,Fantastic Four,120000000,167977596,100,4.44,6416,5.07,TRUE,300000000,0.56,Miss,Standard Blockbuster,Pre-COVID
